country_clean,country_pl,iso3,n_records,n_products,n_main_categories,n_sub_categories,median_price_ppp,mean_price_ppp,min_price_ppp,q1_price_ppp,q3_price_ppp,max_price_ppp,iqr_price_ppp,mean_rating,median_rating_count,ppp_year,currencies,price_range_ppp,price_index_ppp,compared_products_ppp
Egypt,Egipt,EGY,8959,8959,21,152,362.47822167512487,1558.4487142703865,3.237568968159386,90.52242834973643,1726.142271063858,28680.975975130368,1635.6198427141217,4.414202810018327,2,2025,EGP,28677.73840616221,665.3302178490985,8447
Finland,Finlandia,FIN,9240,9240,22,167,50.73353665653433,221.70418191057948,0.3679101182894463,12.67386924728127,252.46246048137866,5302.98032568926,239.7885912340974,4.372680601393473,59,2024,EUR,5302.61241557097,82.98051531810324,9007
France,Francja,FRA,9895,9895,21,165,62.753335732438416,243.10281289016038,0.3487071334320872,13.934337051946205,278.8262238922969,4749.391157345028,264.8918868403507,4.357111416781293,14,2024,EUR,4749.042450211596,89.09978160861574,9536
Germany,Niemcy,DEU,10300,10300,21,165,64.12970193016291,251.80916748188997,0.4276263742842603,14.23995826366587,283.65882827522603,4746.65275455529,269.41887001156016,4.367650976909414,52,2024,EUR,4746.225128181006,87.0455962970066,9842
Hungary,Węgry,HUN,8706,8706,21,164,73.89832037991914,313.80892401011965,0.5018113249529892,18.434963411430864,364.22258298758936,7535.0932110046215,345.7876195761585,4.750018511662347,8,2024,HUF,7534.591399679669,122.0985446647598,8513
India,Indie,IND,6365,6365,23,149,100.50277572849963,496.93414141277987,0.9595742406238659,27.726645163289596,504.5340349385484,15277.43198887997,476.8073897752588,4.390003538570418,55,2025,INR,15276.472414639346,243.69093577803906,5807
Ireland,Irlandia,IRL,9394,9394,22,166,39.684789387153465,184.4231438254184,0.45354045013889677,10.204660128125177,202.9593514371563,4388.003855093826,192.75469130903113,4.4690784044016505,2,2024,EUR,4387.550314643688,69.73985241876004,8990
Italy,Włochy,ITA,10216,10216,22,168,63.903947328431094,262.45633408555744,0.7997990904684744,15.916001900322641,312.7214443731735,4717.215035583062,296.8054424728508,4.486190992946283,14,2024,EUR,4716.415236492593,97.55249667108505,9906
Japan,Japonia,JPN,8485,8485,22,167,40.23754216414466,195.0130081574406,0.49303314979822166,10.051839115273948,201.13740131564185,4688.3427785404365,191.08556220036792,4.372506702412869,52,2024,JPY,4687.849745390638,85.15519497446763,7684
Jordan,Jordania,JOR,8643,8643,22,147,122.53038983799179,494.72228055767755,0.7854512169102038,31.386630627731744,562.3830713077059,9535.377773289874,530.9964406799742,NA,NA,2025,JOD,9534.592322072964,189.51104380524498,8414
Kuwait,Kuwejt,KWT,8543,8543,21,152,76.15158414055081,304.9308031035489,0.8188342380704389,19.10613222164357,327.260750482152,6687.14627757525,308.1546182605084,NA,NA,2025,KWD,6686.327443337179,114.94432072063599,8288
Malaysia,Malezja,MYS,7780,7780,22,160,90.16983014312251,392.82193338945285,0.698990931342035,24.464682596971226,418.695567873879,10536.589299049836,394.23088527690777,4.659840848806366,8,2025,MYR,10535.890308118494,164.6515234497239,7547
Mexico,Meksyk,MEX,7475,7475,23,161,83.32331139060219,354.6988835002321,0.925814571006691,20.321629833596866,379.49139265564264,12489.14598142316,359.16976282204575,4.675913346796402,7,2024,MXN,12488.220166852154,153.06949543991928,6739
Morocco,Maroko,MAR,8292,8292,22,157,151.2760497465147,605.8002467799797,0.8839168182183664,37.6296016898676,705.6813055161915,13055.451405085272,668.0517038263239,NA,NA,2025,MAD,13054.567488267054,229.50349044141737,8085
Netherlands,Holandia,NLD,10130,10130,21,168,53.89851068131276,213.53838072574558,0.2560819462227913,13.464519172450974,246.64397870476446,4365.523283240111,233.1794595323135,4.225398528510117,8,2024,EUR,4365.267201293888,79.09968315732748,9752
