iso3,ppp_year,ppp_lcu_per_int_dollar
PRY,2025,2874.55964196734
PSE,2025,0.906517428324285
PYF,2021,101.865636234078
QAT,2024,2.75548696215788
ROU,2024,2.05657177858732
RUS,2025,30.7531677427568
RWA,2025,372.708064661893
SAU,2025,1.87110648410936
SDN,2022,224.283499405375
SEN,2025,226.514339375311
SGP,2025,1.02381459225382
SLB,2024,7.59844531774035
SLE,2025,6.92562829658794
SLV,2025,0.468846458572409
SMR,2024,0.738881169196686
SOM,2021,10392.2489678791
SRB,2024,50.5842225732615
SSD,2021,158.052139282227
STP,2024,13.5937602555677
SUR,2025,15.6295611371596
SVK,2024,0.545311
SVN,2024,0.57707
SWE,2024,8.577614
SWZ,2021,6.18902730941772
SXM,2021,1.53710055351257
SYC,2025,8.45029129812648
SYR,2021,506.863739013672
TCA,2021,1.31719124317169
TCD,2025,222.7610217762
TGO,2025,218.390674232124
THA,2021,11.7121210098267
TJK,2021,3.21827816963196
TKM,2021,1.57215428352356
TLS,2025,0.445647699325513
TON,2024,1.82627602040508
TTO,2025,3.84086021913748
TUN,2025,0.980303631223321
TUR,2024,12.551671
TUV,2021,1.2944100347858
TZA,2024,657.470339629292
UGA,2025,1337.11015171811
UKR,2025,11.8646230019296
URY,2025,29.8551247863117
USA,2024,1
UZB,2025,3573.27635438062
VCT,2025,1.6781094402171
VEN,2011,2.94362664222717e-11
VGB,2021,1.02093863487244
VIR,2021,1.01027965545654
VNM,2024,7160.71291914863
VUT,2023,126.944680949262
WSM,2025,1.8816986070326
XKX,2022,0.386229321088011
YEM,2013,90.3601684570313
ZAF,2025,7.73995922531757
ZMB,2025,8.39252772382659
ZWE,2021,0.0289889026296465
